step,system_stopped,system_total_timeloss,system_average_timeloss,system_mean_speed,system_total_travel_time,system_average_travel_time
36005.0,0,0.0,0.0,17.17625734711894,0.0,0.0
36010.0,0,0.0,0.0,17.58182060501356,0.0,0.0
36015.0,0,0.0,0.0,19.649959467442496,0.0,0.0
36020.0,0,0.0,0.0,18.751185652822393,0.0,0.0
36025.0,0,0.0,0.0,17.642054290124477,0.0,0.0
36030.0,2,0.0,0.0,16.928796300813026,0.0,0.0
36035.0,2,0.0,0.0,15.931580327083767,0.0,0.0
36040.0,4,0.0,0.0,14.868703031073197,0.0,0.0
36045.0,8,0.0,0.0,14.008700443685422,0.0,0.0
36050.0,11,0.0,0.0,13.327368711482743,0.0,0.0
36055.0,15,16.02816751159414,16.02816751159414,12.652530343697949,51.0,51.0
36060.0,18,25.043571581450536,12.521785790725268,11.14545820728089,91.0,45.5
36065.0,21,25.043571581450536,12.521785790725268,10.222223298472459,91.0,45.5
36070.0,26,25.043571581450536,12.521785790725268,10.016830824179593,91.0,45.5
36075.0,31,46.47379961438984,9.294759922877969,8.100113016480023,268.0,53.6
36080.0,35,46.47379961438984,9.294759922877969,7.613061040147042,268.0,53.6
36085.0,35,46.47379961438984,9.294759922877969,7.998418740079363,268.0,53.6
36090.0,40,57.01375673365907,9.502292788943178,7.024092974461671,321.0,53.5
36095.0,43,57.01375673365907,9.502292788943178,6.973328030438153,321.0,53.5
36100.0,41,63.11106216708608,9.01586602386944,7.193743471668549,407.0,58.142857142857146
36105.0,34,80.37326262736858,10.046657828421072,7.357145810076702,461.0,57.625
36110.0,37,86.58472115748592,9.620524573053991,7.359549757169662,506.0,56.22222222222222
36115.0,31,93.25378731120534,9.325378731120534,8.333846550088163,561.0,56.1
36120.0,21,100.09854251203635,9.099867501094213,10.254716315874344,660.0,60.0
36125.0,10,106.84000887729502,8.903334073107919,12.64180175869569,704.0,58.666666666666664
36130.0,10,175.3644574238923,13.489573647991715,13.893559288514416,830.0,63.84615384615385
36135.0,12,391.90841251370955,24.494275782106847,15.191233291256506,1189.0,74.3125
36140.0,14,620.2618460050902,28.193720272958647,15.352895224727268,1684.0,76.54545454545455
36145.0,15,985.3239838124159,33.97668909697986,14.932508457687526,2408.0,83.03448275862068
36150.0,12,1374.7929042269673,37.15656497910722,14.622482871873798,3234.0,87.4054054054054
36155.0,15,1606.9572794528317,35.71016176561848,14.407806965987422,3911.0,86.91111111111111
36160.0,22,1762.9627629844445,35.25925525968889,13.624645775311325,4360.0,87.2
36165.0,25,1975.647369299339,36.586062394432204,13.417586960379174,4768.0,88.29629629629629
36170.0,24,2418.1375461695966,39.64159911753437,12.04924587285764,5585.0,91.55737704918033
36175.0,27,2919.570405667879,42.3126145748968,11.142571755548419,6538.0,94.7536231884058
36180.0,26,3144.3214966903433,42.49083103635599,11.357897193979763,7058.0,95.37837837837837
36185.0,20,3447.30388734596,43.0912985918245,11.269487528542967,7745.0,96.8125
36190.0,23,3652.8259383517207,42.97442280413789,11.02350042369773,8257.0,97.14117647058823
36195.0,30,3677.501831925639,42.76164920843767,10.387867108679323,8314.0,96.67441860465117
36200.0,36,3773.776818030697,42.401986719446036,8.955989166902146,8665.0,97.35955056179775
36205.0,41,3812.270712907052,42.35856347674502,8.134264923912145,8789.0,97.65555555555555
36210.0,47,3818.9026557940274,41.96596325048382,7.63761999147708,8836.0,97.0989010989011
36215.0,51,3864.2663029616083,41.551250569479656,7.589180371759947,8980.0,96.55913978494624
36220.0,53,3944.0070766895838,41.08340704884983,6.7165689963161395,9214.0,95.97916666666667
36225.0,49,4096.549183840397,41.379284685256536,5.8989380809741485,9545.0,96.41414141414141
36230.0,53,4096.549183840397,41.379284685256536,6.252885247145598,9545.0,96.41414141414141
36235.0,59,4096.549183840397,41.379284685256536,6.3852510131449485,9545.0,96.41414141414141
36240.0,63,4211.150768615768,41.2857918491742,5.884267282423962,9842.0,96.49019607843137
36245.0,66,4267.90469748669,41.43596793676398,6.143310670200572,9932.0,96.42718446601941
36250.0,70,4274.82273155204,41.10406472646192,5.63118247917772,10023.0,96.375
36255.0,73,4519.779601520981,42.240930855336266,4.862199052440673,10451.0,97.67289719626169
36260.0,74,4815.348258563379,42.99418088003017,4.424662193499727,11043.0,98.59821428571429
36265.0,80,4848.385627727637,42.90606750201449,3.9336542838861845,11148.0,98.65486725663717
36270.0,82,4848.385627727637,42.90606750201449,3.8398146641008433,11148.0,98.65486725663717
36275.0,87,4848.385627727637,42.90606750201449,4.012731799026821,11148.0,98.65486725663717
36280.0,92,4856.275521628651,42.598908084461854,3.585961376273307,11187.0,98.13157894736842
36285.0,95,4862.092625034284,42.279066304645944,3.1752675019578516,11247.0,97.8
36290.0,91,4862.092625034284,42.279066304645944,3.659768037120708,11247.0,97.8
36295.0,90,4862.092625034284,42.279066304645944,3.6798518379740877,11247.0,97.8
36300.0,95,4862.092625034284,42.279066304645944,3.414160768828849,11247.0,97.8
36305.0,103,4862.092625034284,42.279066304645944,3.23621619428655,11247.0,97.8
36310.0,112,4896.927603015208,42.21489312944145,3.077272187519283,11360.0,97.93103448275862
36315.0,120,4988.419008239602,42.636059899483776,2.728343121442257,11510.0,98.37606837606837
36320.0,120,4995.472244745669,42.33451054869211,2.580153082496684,11554.0,97.91525423728814
36325.0,127,4995.472244745669,42.33451054869211,2.7176815851488367,11554.0,97.91525423728814
36330.0,131,4995.472244745669,42.33451054869211,2.331623177384092,11554.0,97.91525423728814
36335.0,133,5002.224862334818,42.0355030448304,2.340051835639398,11597.0,97.45378151260505
