step,system_stopped,system_total_timeloss,system_average_timeloss,system_mean_speed,system_total_travel_time,system_average_travel_time
36005.0,0,0.0,0.0,16.356001109107293,0.0,0.0
36010.0,0,0.0,0.0,18.11547028955391,0.0,0.0
36015.0,0,0.0,0.0,20.103918669129328,0.0,0.0
36020.0,0,0.0,0.0,19.601063148388057,0.0,0.0
36025.0,0,0.0,0.0,18.02369499079171,0.0,0.0
36030.0,1,0.0,0.0,18.149178699620705,0.0,0.0
36035.0,3,0.0,0.0,16.77639554512456,0.0,0.0
36040.0,3,0.0,0.0,16.521267166394722,0.0,0.0
36045.0,7,8.071044325785277,8.071044325785277,14.71806300763056,42.0,42.0
36050.0,9,13.37976339537216,6.68988169768608,14.26144015593083,88.0,44.0
36055.0,14,13.37976339537216,6.68988169768608,12.747582490073496,88.0,44.0
36060.0,16,18.50322145936367,6.167740486454556,11.80290654969102,137.0,45.666666666666664
36065.0,21,33.31288630302036,6.662577260604072,10.442367818602401,235.0,47.0
36070.0,21,53.16225135179268,7.594607335970383,9.254716065228394,357.0,51.0
36075.0,24,62.402820611417795,7.800352576427224,9.136387349621728,413.0,51.625
36080.0,26,72.6066429221342,8.067404769126021,9.39388645953531,454.0,50.44444444444444
36085.0,33,72.6066429221342,8.067404769126021,8.514159156087086,454.0,50.44444444444444
36090.0,37,72.6066429221342,8.067404769126021,7.946773862435269,454.0,50.44444444444444
36095.0,38,134.28953183801255,12.208139258001141,7.0607923980523735,590.0,53.63636363636363
36100.0,43,205.85233534378298,15.834795026444844,6.788200687004372,732.0,56.30769230769231
36105.0,46,205.85233534378298,15.834795026444844,5.846245068204929,732.0,56.30769230769231
36110.0,44,205.85233534378298,15.834795026444844,5.824183615969717,732.0,56.30769230769231
36115.0,39,205.85233534378298,15.834795026444844,7.040783075656584,732.0,56.30769230769231
36120.0,38,205.85233534378298,15.834795026444844,7.912445581376976,732.0,56.30769230769231
36125.0,34,205.85233534378298,15.834795026444844,8.097048114083178,732.0,56.30769230769231
36130.0,24,212.52952034182627,15.180680024416162,9.804712983080416,797.0,56.92857142857143
36135.0,19,212.52952034182627,15.180680024416162,11.439570059964382,797.0,56.92857142857143
36140.0,21,286.083357269629,17.880209829351813,11.594823453800212,954.0,59.625
36145.0,27,531.3747069359986,27.96708983873677,12.749016101050357,1344.0,70.73684210526316
36150.0,32,956.0580463684304,36.771463321862704,12.508558671181088,2102.0,80.84615384615384
36155.0,29,1472.3190461882812,43.303501358478854,10.424913446876994,3030.0,89.11764705882354
36160.0,24,1775.3759324161115,43.30185201014906,10.525742289074255,3739.0,91.1951219512195
36165.0,23,2044.0285488629768,41.71486834414238,11.089100527386606,4399.0,89.77551020408163
36170.0,21,2128.614672289879,40.93489754403613,11.735536845335103,4657.0,89.5576923076923
36175.0,24,2178.6301812195893,41.10622983433187,12.044203937116333,4795.0,90.47169811320755
36180.0,26,2266.0276112674223,41.200502023044045,11.996083498070265,4993.0,90.78181818181818
36185.0,28,2943.564880914429,47.47685291797466,11.985143404452687,6058.0,97.70967741935483
36190.0,34,3552.3088662987834,50.74726951855405,10.76832305743223,7067.0,100.95714285714286
36195.0,39,4088.555315956751,51.10694144945939,9.388063331138145,8135.0,101.6875
36200.0,43,4368.425231079594,50.21178426528269,7.316024912510084,8809.0,101.25287356321839
36205.0,52,4468.933771725052,50.21273900814665,6.2056587234279945,9089.0,102.12359550561797
36210.0,54,4558.220864456924,50.64689849396582,6.0901807560495325,9229.0,102.54444444444445
36215.0,56,4620.182428662148,50.77123547980382,5.838623415441086,9345.0,102.6923076923077
36220.0,62,4620.182428662148,50.77123547980382,5.429585967376499,9345.0,102.6923076923077
36225.0,66,4701.831558004213,51.10686476091536,4.869166351335467,9488.0,103.1304347826087
36230.0,70,4701.831558004213,51.10686476091536,4.9755911682296725,9488.0,103.1304347826087
36235.0,65,4732.9217558517585,49.82022900896588,4.446734741605039,9659.0,101.67368421052632
36240.0,56,4732.9217558517585,49.82022900896588,5.690617834288454,9659.0,101.67368421052632
36245.0,44,4732.9217558517585,49.82022900896588,7.699218283512671,9659.0,101.67368421052632
36250.0,39,4732.9217558517585,49.82022900896588,9.125640935925588,9659.0,101.67368421052632
36255.0,35,4937.627758932301,50.903378958064955,10.180234101069143,9957.0,102.64948453608247
